Grid,ICS,LBCS,Suite,Date,Time (UTC),Script Name,Test Category,What is tested?
RRFS_CONUS_3km,FV3GFS,FV3GFS,GFS_v16,7/1/19,0,config.grid_RRFS_CONUS_3km_ics_FV3GFS_lbcs_FV3GFS_suite_GFS_v16.sh,Comprehensive,model run
RRFS_CONUScompact_25km,HRRR,RAP,RRFS_v1beta,8/10/20,0,config.grid_RRFS_CONUScompact_25km_ics_HRRR_lbcs_RAP_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUScompact_13km,HRRR,RAP,RRFS_v1beta,8/1/20,0,config.grid_RRFS_CONUScompact_13km_ics_HRRR_lbcs_RAP_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUScompact_3km,HRRR,RAP,RRFS_v1beta,8/1/20,0,config.grid_RRFS_CONUScompact_3km_ics_HRRR_lbcs_RAP_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUScompact_25km,HRRR,RAP,HRRR,8/10/20,0,config.grid_RRFS_CONUScompact_25km_ics_HRRR_lbcs_RAP_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUScompact_13km,HRRR,RAP,HRRR,8/10/20,0,config.grid_RRFS_CONUScompact_13km_ics_HRRR_lbcs_RAP_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUScompact_3km,HRRR,RAP,HRRR,8/10/20,0,config.grid_RRFS_CONUScompact_3km_ics_HRRR_lbcs_RAP_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUS_25km,FV3GFS,FV3GFS,RRFS_v1beta,7/1/19,0,config.grid_RRFS_CONUS_25km_ics_FV3GFS_lbcs_FV3GFS_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUS_25km,FV3GFS,FV3GFS,HRRR,7/1/19,0,config.grid_RRFS_CONUS_25km_ics_FV3GFS_lbcs_FV3GFS_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUS_13km,FV3GFS,FV3GFS,RRFS_v1beta,7/1/19,0,config.grid_RRFS_CONUS_13km_ics_FV3GFS_lbcs_FV3GFS_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUS_13km,FV3GFS,FV3GFS,HRRR,7/1/19,0,config.grid_RRFS_CONUS_13km_ics_FV3GFS_lbcs_FV3GFS_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUS_3km,FV3GFS,FV3GFS,RRFS_v1beta,7/1/19,0,config.grid_RRFS_CONUS_3km_ics_FV3GFS_lbcs_FV3GFS_suite_RRFS_v1beta.sh,Comprehensive,model run
RRFS_CONUS_3km,FV3GFS,FV3GFS,HRRR,7/1/19,0,config.grid_RRFS_CONUS_3km_ics_FV3GFS_lbcs_FV3GFS_suite_HRRR.sh,Comprehensive,model run
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp,"07/01/19, 07/02/19","00,12",config.community_ensemble_008mems.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp,"07/01/19, 07/02/19","00,12",config.community_ensemble_2mems.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,7/1/19,0,config.deactivate_tasks.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,7/1/19,0,config.inline_post.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,6/15/19,0,config.MET_ensemble_verification.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,6/15/19,0,config.MET_verification.sh,Comprehensive,wflow components
ESGgrid,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp_regional,7/1/19,0,config.custom_ESGgrid.sh,Comprehensive,wflow components
GFDLgrid,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp,7/1/19,0,config.custom_GFDLgrid.sh,Comprehensive,wflow components
GFDLgrid,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp,7/1/19,0,config.custom_GFDLgrid__GFDLgrid_USE_GFDLgrid_RES_IN_FILENAMES_eq_FALSE.sh,Comprehensive,wflow components
GFDLgrid,FV3GFS,FV3GFS,FV3_GFS_2017_gfdlmp,7/1/19,0,config.custom_GFDLgrid__GFDLgrid_USE_GFDLgrid_RES_IN_FILENAMES_eq_TRUE.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,7/1/19,0,config.pregen_grid_orog_sfc_climo.sh,Comprehensive,wflow components
RRFS_CONUS_25km,GSMGFS,GSMGFS,FV3_GFS_2017_gfdlmp,5/20/19,0,config.specify_DOT_OR_USCORE.sh,Comprehensive,wflow components
RRFS_CONUScompact_25km,HRRR,RAP,FV3_HRRR,8/1/20,0,config.specify_DT_ATMOS_LAYOUT_XY_BLOCKSIZE.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,6/3/21,6,config.specify_EXTRN_MDL_SYSBASEDIR_ICS_LBCS.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,7/1/19,0,config.specify_RESTART_INTERVAL.sh,Comprehensive,wflow components
RRFS_CONUS_25km,FV3GFS,FV3GFS,FV3_GFS_v15p2,7/1/19,0,config.specify_template_filenames.sh,Comprehensive,wflow components
