No.,Field Description,Level Type,Short Name,nlvl
1,Pressure on model surface,hybrid,PRES,2
2,Height on model surface,hybrid,HGT,2
3,Temperature on model surface,hybrid,TMP,2
4,Potential temperature on model surface,hybrid,POT,2
5,Dew point temperature on model surface,hybrid,DPT,2
6,Specific humidity on model surface,hybrid,SPFH,1
7,Relative humidity on model surface,hybrid,RH,1
8,U component of wind on model surface,hybrid,UGRD,2
9,V component of wind on model surface,hybrid,VGRD,2
10,Omega on model surface,hybrid,VVEL,1
11,Vertical velocity on model surface,hybrid,DZDT,1
12,Turbulent kinetic energy on model surface,hybrid,TKE,2
13,Rain mixing ratio on model surface,hybrid,RWMR,2
14,Snow mixing ratio on model surface,hybrid,SNMR,2
15,Rimming factor for Ferrier scheme on model surface,hybrid,RIME,2
16,Total condensate for Ferrier scheme on mode surface,hybrid,TCOND,2
17,Radar reflectivity on model surface,hybrid,REFD,2
18,Master length scale on model surface,hybrid,BMIXL,1
19,Height on pressure surface,isobaric,HGT,45
20,Temperature on pressure surface,isobaric,TMP,45
21,Dew point temperature on pressure surface,isobaric,DPT,45
22,Specific humidity on pressure surface,isobaric,SPFH,45
23,Relative humidity on pressure surface,isobaric,RH,45
24,Moisture convergence on pressure surface,isobaric,MCONV,2
25,U component of wind on pressure surface,isobaric,UGRD,45
26,V component of wind on pressure surface,isobaric,VGRD,45
27,Vertical velocity on pressure surface,isobaric,DZDT,45
28,Omega on pressure surface,isobaric,VVEL,45
29,Absolute vorticity on pressure surface,isobaric,ABSV,10
30,Geostrophic streamfunction on pressure surface,isobaric,STRM,2
31,Turbulent kinetic energy on pressure surface,isobaric,TKE,45
32,Cloud ice mixing ratio on pressure surface,isobaric,ICMR,45
33,Cloud water mixing ratio on pressure surface,isobaric,CLMR,45
34,Rain mixing ratio on pressure surface,isobaric,RWMR,45
35,Graupel mixing ratio on pressure surface,isobaric,GRLE,45
36,Snow mixing ratio on pressure surface,isobaric,SNMR,45
37,Rimming factor for Ferrier scheme on pressure surface,isobaric,RIME,45
38,Mesinger (Membrane) sea level pressure,mean sea level,MSLET,1
39,Shuell sea level pressure,mean sea level,PRES,1
40,Temperature at 2m,height agl,TMP,1
41,Specific humidity at 2m,height agl,SPFH,1
42,Dew point temperature at 2m,height agl,DPT,1
43,Relative humidity at 2m,height agl,RH,1
44,U component of wind at 10m,height agl,UGRD,1
45,V component of wind at 10m,height agl,VGRD,1
46,Surface wind gust,surface,GUST,1
47,LCL level pressure,pressure layer agl,PLPL,1
48,Potential temperature at 10m,height agl,POT,1
49,Specific humidity at 10m,height agl,SPFH,1
50,Surface Pressure,surface,PRES,1
51,Terrain height,surface,HGT,1
52,Skin potential temperature,surface,POT,1
53,Skin specific humidity,surface,SPFH,1
54,Skin temperature,surface,TMP,1
55,Soil temperature at 3m,depth below land surface,TSOIL,1
56,Soil temperature in between each soil layer,depth below land surface,TSOIL,4
57,Soil moisture in between each soil layer,depth below land surface,SOILW,4
58,Liquid soil moisture in between each soil layer,depth below land surface,SOILL,4
59,Total soil moisture,depth below land surface,SOILM,1
60,Plant canopy surface water,surface,CNWAT,1
61,Snow water equivalent,surface,WEASD,1
62,Snow cover in percentage,surface,SNOWC,1
63,Heat exchange coeff at surface,surface,SFEXC,1
64,Vegetation cover,surface,VEG,1
65,Vegetation type,surface,VGTYP,1
66,Soil type,surface,SOTYP,1
67,Snow free albedo,surface,SNFALB,1
68,Maximum snow albedo,surface,MXSALB,1
69,Canopy conductance,surface,CCOND,1
70,Canopy conductance - solar component,surface,RCS,1
71,Canopy conductance - temperature component,surface,RCT,1
72,Canopy conductance - humidity component,surface,RCQ,1
73,Canopy conductance - soil component,surface,RCSOL,1
74,Soil moist reference,surface,SMREF,1
75,Soil moist porosity,surface,POROS,1
76,Number of root layers,surface,RLYRS,1
77,Minimum stomatal resistance,surface,RSMIN,1
78,Snow depth,surface,SNOD,1
79,Air dry soil moisture,surface,SMDRY,1
80,Soil moist wilting point,surface,WILT,1
81,Soil moisture availability,depth below land surface,MSTAV,1
82,Ground heat flux (instantaneous),surface,GFLUX,1
83,Lifted index—surface based (500-1000 hPa),isobaric,LFTX,1
84,Lifted index—best,pressure above ground,4LFTX,1
85,Lifted index—parcel,pressure above ground,PLI,1
86,Convective available potential energy,surface,CAPE,1
87,Best cape,pressure above ground,CAPE,1
88,Mixed layer cape,pressure above ground,CAPE,1
89,Unstable cape,pressure above ground,CAPE,1
90,Convective inhibition,surface,CIN,1
91,Best cin,pressure above ground,CIN,1
92,Mixed layer cin,pressure above ground,CIN,1
93,Unstable cin,pressure above ground,CIN,1
94,Column integrated precipitable water,entire atmosphere,PWAT,1
95,Helicity,height agl,HLCY,2
96,U component storm motion,height agl,USTM,1
97,V component storm motion,height agl,VSTM,1
98,Accumulated total precipitation,surface,APCP,1
